CM004350.2	224787907	gene:Zm00001d044122	Dihydroflavonol-4-reductase
CM004353.2	61597659	gene:Zm00001d035988	null
CM004353.2	163794722	gene:Zm00001d038870	Late embryogenesis abundant protein%252C group 3
CM004354.2	133722245	gene:Zm00001d020843	null
CM004350.2	224787976	gene:Zm00001d044122	Dihydroflavonol-4-reductase
CM004357.2	142821019		
CM004353.2	163795103	gene:Zm00001d038870	Late embryogenesis abundant protein%252C group 3
CM004357.2	142820992		
CM004353.2	61597691	gene:Zm00001d035988	null
CM004353.2	163794781	gene:Zm00001d038870	Late embryogenesis abundant protein%252C group 3
CM004354.2	133722221	gene:Zm00001d020843	null
CM004352.2	83057721	gene:Zm00001d015284	null
CM004350.2	224787465	gene:Zm00001d044122	Dihydroflavonol-4-reductase
CM004357.2	142820956		
CM004353.2	163794245	gene:Zm00001d038870	Late embryogenesis abundant protein%252C group 3
CM004350.2	235181366		
CM004350.2	235181372		
CM004357.2	142821259		
CM004353.2	98666923		
CM004353.2	163794826	gene:Zm00001d038870	Late embryogenesis abundant protein%252C group 3
CM004354.2	25693338	gene:Zm00001d019291	null
CM004354.2	2454395	gene:Zm00001d018668	Protein C2-DOMAIN ABA-RELATED 4
CM004352.2	31822941	gene:Zm00001d014083	Beta-amylase
CM004350.2	15601558		
CM004352.2	83057692	gene:Zm00001d015284	null
CM004357.2	142821464		
CM004353.2	156303964	gene:Zm00001d038521	SKU5  similar 13
CM004349.2	243388529	gene:Zm00001d007937	alanine amino transferase8
CM004353.2	156303806	gene:Zm00001d038521	SKU5  similar 13
CM004353.2	156305703	gene:Zm00001d038521	SKU5  similar 13
CM004357.2	46658379		
CM004357.2	142821277		
CM004352.2	31822986	gene:Zm00001d014083	Beta-amylase
CM004351.2	172428227	gene:Zm00001d051659	null
CM004350.2	15601734	gene:Zm00001d039766	null
CM004354.2	25693395	gene:Zm00001d019291	null
CM004356.2	45947354	gene:Zm00001d045888	Pollen-specific arabinogalacta protein BAN102
CM004349.2	243387941	gene:Zm00001d007937	alanine amino transferase8
CM004349.2	65180422	gene:Zm00001d003877	Pollen-specific protein-like
CM004350.2	15601757	gene:Zm00001d039766	null
CM004357.2	142632966	gene:Zm00001d026368	Thioredoxin-like protein CXXS1
CM004357.2	142820953		
CM004351.2	165197450		
CM004354.2	133722191	gene:Zm00001d020843	null
CM004356.2	45947333	gene:Zm00001d045888	Pollen-specific arabinogalacta protein BAN102
CM004357.2	23297757	gene:Zm00001d023858	Leucine-rich repeat (LRR) family protein
CM004356.2	25624580	gene:Zm00001d045521	null
CM004349.2	175471849	gene:Zm00001d005465	Lustrin A [Source:UniProtKB/TrEMBL%3BAcc:B4FJ67]
CM004353.2	156304682	gene:Zm00001d038521	SKU5  similar 13
CM004353.2	156305658	gene:Zm00001d038521	SKU5  similar 13
CM004349.2	205993572	gene:Zm00001d006399	expansin A24
CM004349.2	175471864	gene:Zm00001d005465	Lustrin A [Source:UniProtKB/TrEMBL%3BAcc:B4FJ67]
CM004349.2	205993679	gene:Zm00001d006399	expansin A24
CM004353.2	156305664	gene:Zm00001d038521	SKU5  similar 13
CM004350.2	224640820	gene:Zm00001d044112	null
CM004350.2	224788562	gene:Zm00001d044122	Dihydroflavonol-4-reductase
CM004353.2	156305467	gene:Zm00001d038521	SKU5  similar 13
CM004357.2	23297708	gene:Zm00001d023858	Leucine-rich repeat (LRR) family protein
CM004354.2	133722283	gene:Zm00001d020843	null
CM004350.2	224643279	gene:Zm00001d044112	null
CM004353.2	163794667	gene:Zm00001d038870	Late embryogenesis abundant protein%252C group 3
CM004357.2	142820926		
CM004353.2	136314675	gene:Zm00001d037831	null
CM004350.2	235181088		
CM004350.2	150272061	gene:Zm00001d042014	null
CM004353.2	156304674	gene:Zm00001d038521	SKU5  similar 13
CM004349.2	65180294	gene:Zm00001d003877	Pollen-specific protein-like
CM004350.2	150271944	gene:Zm00001d042014	null
CM004354.2	25693479	gene:Zm00001d019291	null
CM004350.2	220746347	gene:Zm00001d043988	chitinase chem5
CM004348.2	12271164	gene:Zm00001d027710	Peroxidase 60
CM004353.2	136314625	gene:Zm00001d037831	null
CM004348.2	12271166	gene:Zm00001d027710	Peroxidase 60
CM004357.2	142631330	gene:Zm00001d026368	Thioredoxin-like protein CXXS1
CM004351.2	165197401		
CM004357.2	142631416	gene:Zm00001d026368	Thioredoxin-like protein CXXS1
CM004351.2	1431736	gene:Zm00001d048648	Pectinesterase
CM004354.2	133680242		
CM004354.2	133722326	gene:Zm00001d020843	null
CM004353.2	161770171	gene:Zm00001d038783	Profilin-1
CM004350.2	220746366	gene:Zm00001d043988	chitinase chem5
CM004350.2	235181082		
CM004357.2	142631395	gene:Zm00001d026368	Thioredoxin-like protein CXXS1
CM004349.2	102939304	gene:Zm00001d004326	Low-molecular-weight cysteine-rich protein LCR68
CM004352.2	31823124	gene:Zm00001d014083	Beta-amylase
CM004349.2	65180648	gene:Zm00001d003877	Pollen-specific protein-like
CM004352.2	31822599	gene:Zm00001d014083	Beta-amylase
CM004351.2	165197497		
CM004353.2	163794634	gene:Zm00001d038870	Late embryogenesis abundant protein%252C group 3
CM004353.2	119755653	gene:Zm00001d037370	null
CM004350.2	224643170	gene:Zm00001d044112	null
CM004353.2	156304360	gene:Zm00001d038521	SKU5  similar 13
CM004352.2	19999584	gene:Zm00001d013785	Whole genome shotgun sequence of line PN40024 scaffold_14.assembly12x (Fragment)
CM004350.2	146860782		
CM004354.2	133722301	gene:Zm00001d020843	null
CM004349.2	205993766	gene:Zm00001d006399	expansin A24
CM004357.2	11819229	gene:Zm00001d023639	Alba DNA/RNA-binding protein
CM004349.2	65180607	gene:Zm00001d003877	Pollen-specific protein-like
CM004354.2	133722305	gene:Zm00001d020843	null
CM004349.2	175472275	gene:Zm00001d005465	Lustrin A [Source:UniProtKB/TrEMBL%3BAcc:B4FJ67]
CM004353.2	119755646	gene:Zm00001d037370	null
CM004351.2	1431691	gene:Zm00001d048648	Pectinesterase
CM004353.2	163794692	gene:Zm00001d038870	Late embryogenesis abundant protein%252C group 3
CM004355.2	148589077		
CM004357.2	142821091		
CM004350.2	190605716	gene:Zm00001d043090	SKU5  similar 13
CM004353.2	163794657	gene:Zm00001d038870	Late embryogenesis abundant protein%252C group 3
CM004350.2	15601851		
CM004353.2	156304372	gene:Zm00001d038521	SKU5  similar 13
CM004350.2	220888518	gene:Zm00001d043991	DNA binding activity2
CM004357.2	142821121		
CM004353.2	119755622	gene:Zm00001d037370	null
